Subgraph,Sentence
<S> <H> Religiosity <POS> <T> Corporal punishment <H> Religiosity <NEG> <T> Suicide attempt <H> Religiosity <NEG> <T> Suicide ideation <E>,"More religiosity increases corporal punishment, decreases suicide attempt and suicide ideation."
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide planning <POS> <T> Delayed plan <E>,Higher number of suicide attempt positively correlates with suicide planning. Increasing suicide planning can lead to delayed plan.
<S> <H> Stigmatization of group <POS> <T> Negative cultural forces <E>,Increasing stigmatization of group can lead to negative cultural forces.
<S> <H> Access to care services <NEG> <T> ACEs <E>,More access to care services decreases ACEs.
<S> <H> African-American <POS> <T> Removal from care services <H> African-American <POS> <T> Anticipated negative treatment experience <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Anticipated negative treatment experience <POS> <T> Medical/clinical care avoidance <H> Medical/clinical care avoidance <POS> <T> Avoidance of mental/emotional/behavioral care services <E>,Being African-American increases the chance of removal from care services and anticipated negative treatment experience. Removal from care services makes people experienced negative treatment experience. Anticipated negative treatment experience can cause medical/clinical care avoidance thereby increasing avoidance of mental/emotional/behavioral care services.
<S> <H> Trauma-informed care <POS> <T> Provision of services <H> Trauma-informed care <NEG> <T> Psychological harm on parents <E>,More trauma-informed care increases provision of services and decreases psychological harm on parents.
<S> <H> Mental illness in the family <POS> <T> Distrust of mental health <H> Distrust of mental health <NEG> <T> Access to health care services <H> Distrust of mental health <POS> <T> Unwillingness to access medical services <E>,Having mental illness in the family increases distrust of mental health thereby decreasing access to health care services. Distrust of mental health increases unwillingness to access medical services.
<S> <H> ACEs of parents <POS> <T> Parental risk factors <E>,More ACEs of parents increases parental risk factors.
<S> <H> Parental loss <POS> <T> ACEs <E>,Parental loss increases the need for ACEs.
<S> <H> Substance abuse <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Removal from care services <POS> <T> Family risk factors <E>,Higher level of substance abuse increases chance of removal from care services thereby increasing experienced negative treatment experience. Removal from care services also increases family risk factors.
<S> <H> Substance abuse <POS> <T> Involvement with the justice system <H> Substance abuse <POS> <T> Substance use treatment <H> Involvement with the justice system <POS> <T> ACEs <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <E>,Substance abuse increases involvement with the justice system and substance use treatment. Involvement with the justice system increases the need for ACEs and contact with other individuals in the justice system.
<S> <H> Family risk factors <POS> <T> ACEs <E>,Higher family risk factors increases the need for ACEs.
<S> <H> Domestic violence <POS> <T> ACEs <E>,More domestic violence lead to more ACEs.
<S> <H> Neurons in brain <POS> <T> Ability to learn <H> Ability to learn <POS> <T> School grades <E>,More neurons in brain increases ability to learn thereby increasing school grades.
<S> <H> ACEs <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Parental frustration <H> Parental frustration <POS> <T> Parents' coping via substance use <E>,ACEs increases suicide attempt. Suicide attempt can lead to parental frustration thereby increasing parents' coping via substance use.
<S> <H> Clinical depression <POS> <T> Feeling in pain and trapped <H> Clinical depression <NEG> <T> Coping skills (cognitive & emotional regulation) <H> Clinical depression <POS> <T> Emotional distress/pain <H> Emotional distress/pain <POS> <T> Alcohol and drugs consumption <E>,Having clinical depression can lead to feeling in pain and trapped and decrease coping skills (cognitive & emotional regulation). Having clinical depression increases emotional distress/pain thereby increasing alcohol and drugs consumption.
<S> <H> Community violence <POS> <T> Neighborhood stress on family <H> Neighborhood stress on family <POS> <T> ACEs <E>,Higher rate of community violence increases neighborhood stress on family thereby increasing ACEs.
<S> <H> Family history of suicides <POS> <T> Parental loss <E>,People that have family history of suicides have a higher risk of parental loss.
<S> <H> Suicide ideation <POS> <T> Suicide planning <H> Suicide ideation <POS> <T> Informing friends of intention <H> Suicide planning <POS> <T> Delayed plan <H> Suicide planning <POS> <T> Suicide attempt <E>,More suicide ideation increases suicide planning and informing friends of intention. Suicide planning can lead to delayed plan and increase suicide attempt.
<S> <H> Education to get jobs <POS> <T> Parental income from employment <E>,Pursuing education to get jobs increases parental income from employment.
<S> <H> Parental addiction <NEG> <T> Parental involvement <E>,Higher parental addiction decreases parental involvement.
<S> <H> School struggle <POS> <T> Experiences of failure <H> Experiences of failure <POS> <T> Peer conflict <E>,People having school struggle can lead to experiences of failure thereby increasing peer conflict.
<S> <H> Stress of housing insecurity <POS> <T> Economic stressors on families <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,Higher stress of housing insecurity increases economic stressors on families thereby increasing parental substance use and parental depression. Economic stressors on families can lead to violence in the home.
<S> <H> ACEs <POS> <T> Brain development problems <H> ACEs <POS> <T> Impulsivity <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Developmental disorders and delays <POS> <T> Marital relationship stress <H> Developmental disorders and delays <POS> <T> Parental stress <E>,"Higher number of ACEs increases brain development problems and impulsivity. Having brain development problems increases developmental disorders and delays thereby increasing the cost of specialized childcare expenses and services, marital and parental stress."
<S> <H> Individual risk factors <POS> <T> ACEs <E>,Higher number of individual risk factors can lead to more ACEs.
<S> <H> Parents experienced corporal punishments as kids <POS> <T> Parents' use of corporal punishment <E>,Households that have parents experienced corporal punishments as kids see an increase of parents' use of corporal punishment.
<S> <H> Parent’s incarceration <POS> <T> ACEs <H> Parent’s incarceration <POS> <T> Parental loss <H> Parental loss <POS> <T> Suicide ideation <E>,Parent’s incarceration increases the need for ACEs. Parent’s incarceration can cause parental loss thereby increasing suicide ideation.
<S> <H> Parent’s substance use <POS> <T> Distrust of mental health <H> Distrust of mental health <NEG> <T> Access to health care services <H> Distrust of mental health <POS> <T> Unwillingness to access medical services <E>,Parent’s substance use can lead to distrust of mental health thereby decreasing access to health care services and increasing unwillingness to access medical services.
<S> <H> Policies preventing suicide attempt <NEG> <T> Culture of secrecy <H> Culture of secrecy <POS> <T> Undetected attempts by agents of change <E>,More policies preventing suicide attempt decreases culture of secrecy thereby increasing undetected attempts by agents of change.
<S> <H> Nurturing environment <NEG> <T> ACEs <H> Nurturing environment <POS> <T> Feelings of self-worth <H> Nurturing environment <POS> <T> Supportive families <E>,Nurturing environment decreases the need for ACEs and increases the feelings of self-worth. Nurturing environment correlates with supportive families.
<S> <H> ACEs <POS> <T> Cumulative trauma <H> ACEs <POS> <T> Suicide ideation <E>,ACEs increases cumulative trauma and suicide ideation.
<S> <H> Poverty <POS> <T> ACEs <H> Poverty <POS> <T> Low quality of housing <E>,Poverty increases ACEs and low quality of housing.
<S> <H> Hope of a positive outcome <NEG> <T> Traumatic experience of the ACE <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <E>,Having hope of a positive outcome decreases traumatic experience of the ACE. Traumatic experience of the ACE can result in cumulative trauma.
